id,parentId,title,type,document
11,2,Soil,doc,"#Isoil.jpegqq• It can be grown on wide range of soil ranging from sandy loam soils to clay loam or deep clay loam or acidic soils with good drainage facility.qq• Crop not thrives well in saline and alkaline soils also it cannot withstand in waterlogged soils.qq• For optimum crop growth, pH of soil should be in range of 5.5 to 7.5."
12,2,Land Preparation,doc,"#Ilandpreparation.jpegqqThe purpose of land preparation is to provide the best soil conditions which will enhance the successful establishment of the  plants. Land preparation improves site conditions in one or more of the following ways:qq• Reducing weed competition for light and nutrients.qq• Improving soil, water, and air conditions through & water cultivation.qq• Loosening tight or compacted soils to allow.qq• Reducing frost susceptibility during mounding."
13,2,Seed Rate,doc,"#Iseedrates.pngqq• Seed rate may be defined as the amount of seed required for a unit area of land to grow any crop successfully. In other words, the amount of seed required to raise a crop successfully on a given land is called a seed rate for that crop of the land.qq• Minimum plant density of 111 plants/acre should be maintained."
14,2,Sowing,doc,"#Isowing.jpegqq• sowing is the process of planting. An area or object that has had seeds planted in it will be described as a sowed area.qqThese are the some benefits of proper spacing:qq1. Nutrient Intakeqq2. Disease Managementqq3. Weedingqq4. Ease of Harvestqq5. Increased Yieldqq• The best season for planting is from middle of June (with onset of monsoon) to end of September.qq• To minimize effect of strong wind during initial growth stage, plant Mango, Guava, Jamun, Aonla, Shisham or Mulberry on field boundaries."
15,2,Spacing,doc,"#Ispacing.jpegqq• Distance between the plant to plant is called as spacing.
       qq• Leaving the right amount of space between  plants is quite important as each plant needs a certain amount of space for their roots and leaves to maximise growth. This is based on the idea that the raised beds have a better quality of soil and so the plants will grow better in a smaller space.
       qq• Each plant has specific spacing requirements for optimal growth. Spacing is determined by the species of the plant and by soil fertility. Overcrowded plants grow poorly. Plants spaced too far apart don't produce the total yields that they could if spaced more closely.
       qq• In kinnow spacing of plants should be kept 6m*6m."
16,2,Sowing depth,doc,"#Isowing_depth.jpegqq• Measure from the base of the seed to the part of the plant where it has emerged through the soil surface.
qq• In general, seeds should be planted at a depth of two times the width, or diameter, of the seed. For example, if you have a seed that's about 1/16 inch thick, it should be planted about 1/8 inch deep. For tiny seeds, place them on the surface of the soil and barely cover them with soil or vermiculite.
qq• Sowing depth is important to obtain uniform and better germination and to ensure adequate and healthy tillering, it is necessary that the seeds should be placed at optimum depth. Seed lying at a depth below 10 cm from the soil surface germinate but fail to emerge out of soil.
qq• Hence, for kinnow sowing depth should be dug  with 60*60*60cm for planting seedlings."
17,2,Method of sowing,doc,"#Imethod_of_sowing.jpegqq• Propagation in kinnow is done by T budding method. It is usually budded on rough lemon (jambhiri, Soh-myndong or jatli khatti) rootstock. It is also budded on kharna khatta rootstock.qq• Sow citrus seeds in nursery on bed of 2 m x 1 m size and with 15 cm distance between the rows.qq• When seedlings are of 10-12 cm height, transplanting is to be done.qq• Select healthy and uniform size seedling for transplantation purpose. Remove dwarf and weak seedlings.qq• If needed, pruned roots slightly before planting.qq• In nursery, Budding is done when plants are of pencil thickness.qq• Shield budding or T shape budding is done for that, T shaped slot is made in bark of tree at distance of 15-20 cm from ground.qq• Horizontal cut of about 1.5-2 cm long is given, and vertical cut of 2.5 cm long is made from middle of horizontal cut.qq• Remove bud from bud stick and insert it into T shape slots, afterward wrapped it with plastic paper.qq• T budding is done during February-March and also in August- September."
18,2,Intercrops,doc,"#Iintercrops.jpegqq• Intercropping is the practice of growing two or more crops in proximity. The most common goal of intercropping is to produce a greater yield on a given piece of land by making use of resources that would otherwise not be utilized by a single crop.qq• Take intercrop in young and nonbearing orchards. Take pea, moong, mash, cowpea and gram as intercrop. Take intercrop up to four years."
19,2,Weeding,doc,"#Iweeding.jpegqq• The unwanted plants that grow in-between crops are called weeds. The process of removal of such unwanted plants is called weeding. It has to be done 2-3 times in a week, and usually practiced during the earlier stages of crop cultivation.qqThe advantages of weeding are:qq1. The weeds compete with the actual crop for space, nutrients and water.qq2. A weeded crop will aid in better penetration of the sun and the wind beneath the soil and also reduces the humidity.qq3. Due to better penetration of the wind and the sun, it reduces the number of diseases caused by crops and also helps in controlling pests.qq4. It loosens the soil, which helps in the penetration of water to the roots of the cultivated plant.qq• To control weed, take post emergence spray of Glyphosate@1.6 Ltr/acre or Paraquat@1.2 Ltr per acre mixed in 200 Ltr of water."
20,2,Irrigation,doc,"#Iirrigation.jpegqq1. Basin system: Young plant to 7 - 8 yearsqq2. Flood irrigation: In grown up and old orchardqq3. Drip irrigation: due to scarcity of waterqqCare should be taken that irrigation water does not come in direct contact with trunks to avoid susceptibility to bark diseases. This can be avoided by providing earth mound around the trunks of the trees well below the stock scion unionqq#HTime of irrigation:qqMarch to June: One week intervalqqNovember to Feb: 15 days interval"
21,2,Manuring and Fertilizer,doc,"#Ifertilizer.jpegqq#HPre-plant manuringqq• Available organic manures should be applied and well incorporated into the soil before planting. This practice is widely adopted in many developing countries.qq• Typically, a planting hole about 1metre in diameter and 1 meter deep is dug; compost, animal manure and green manure are mixed with the soil that has been dug out, and the mixture is then replaced in the hole before the tree is planted.qq• Tree planting holes are not used in developed countries, because of scarcity of organic manure.qq• On acid soils, limestone is usually added to the mixture for pH adjustment or, where organic manure is scarce, soil preparation consists simply of liming.qq• On some alkaline soils in arid regions, pre-plant irrigation is often used to leach excess salts from the surface soil.qq• Analysis of soil before planning to establish the orchard.qq#HTable  : Recommended fertilizer doses for different age of the plantqq#Irecommended_fertiliser_table.pngqq#HPost plant fertilizer applicationqqTable: Schedule of fertiliser application during the yearqq#Ipost_fertiliser_table.png"
22,2,Pruning,doc,"#Ipruning.jpegqq• The pruning of citrus-trees begins in the nursery. All branches that start within a few centimeters of the union are removed, leaving about half a metre of clean straight stem with a few well-placed branches.qq• All unwanted branches are removed once a month during the first year after planting, and once in two to three months in subsequent years.qq• The bearing trees require little or no pruning.qq• After the crop is picked, the branches touching the ground should be cut close to the laterals so that no stubs are formed.qq• All diseased injured and crossing branches, water-sprouts and dead wood should be removed periodically."
23,2,Health Facts of Kinnow,doc,"#Ihealth_benefits_of_kinnow.jpgqq#HDeficiency disorders of citrus fruits.
qq• Not eating enough fresh fruits and vegetables can cause the deficiency.
qq• People feel tired, weak, and irritable.
qq• Severe deficiency, called scurvy, causes bruising, gum and dental problems, dry hair and skin, and anemia.
qq• The diagnosis is based on symptoms and sometimes blood tests.
qq• Increasing consumption of fresh fruits and vegetables or taking vitamin C supplements by mouth usually corrects the deficiency.
qq• Vitamin C (ascorbic acid) is essential for the formation, growth, and repair of bone, skin, and connective tissue (which binds other tissues and organs together and includes tendons, ligaments, and blood vessels). It is also essential for the normal function of blood vessels. Vitamin C helps maintain healthy teeth and gums. It helps the body absorb iron, which is needed to make red blood cells. Vitamin C also helps burns and wounds heal. Good sources of vitamin C include citrus fruits, tomatoes, potatoes, broccoli, strawberries, and sweet peppers.
qq• Like vitamin E, vitamin C is an antioxidant: It protects cells against damage by free radicals, which are by-products of normal cell activity and which participate in chemical reactions within cells. Some of these reactions can cause damage over a person's lifetime.
qq#HCauses of vitamin C deficiency
qqIn adults, vitamin C deficiency usually results from
qq• A diet low in vitamin C
qqFor example, vitamin C deficiency may result from a diet deficient in fresh fruits and vegetables. Also, cooking can destroy some of the vitamin C in food.
qqThe following conditions can significantly increase the body’s requirements for vitamin C and the risk of vitamin C deficiency:
1. Pregnancy
2. Breastfeeding
3. Disorders that cause a high fever or inflammation
4. An overactive thyroid gland (hyperthyroidism)
5. Diarrhea that lasts a long time
6. Surgery
7.  Burns
8. Smoking, which increases the vitamin C requirement by 30%

qq#HScurvy
qq• Severe vitamin C deficiency causes scurvy. Scurvy in infants is rare because breast milk usually supplies enough vitamin C and infant formulas are fortified with the vitamin. Scurvy is rare in the United States but may occur in alcoholics and older people who are malnourished.
qq#HSymptoms of Vitamin C deficiency
qq• Adults feel tired, weak, and irritable if their diet is low in vitamin C. They may lose weight and have vague muscle and joint aches.
qq• The symptoms of scurvy develop after a few months of deficiency. Bleeding may occur under the skin (particularly around hair follicles or as bruises), around the gums, and into the joints. The gums become swollen, purple, and spongy. The teeth eventually loosen. The hair becomes dry, brittle, and coiled , and the skin becomes dry, rough, and scaly. Fluid may accumulate in the legs. Anemia may develop. Infections may develop, and wounds do not heal.
qq• Infants may be irritable, have pain when they move, and lose their appetite. Infants do not gain weight as they normally do. In infants and children, bone growth is impaired, and bleeding and anemia may occur.
qq#HPrevention of Vitamin C deficiency
qq• Vitamin C deficiency can be prevented by consuming the recommended amounts of fresh fruits and vegetables or by taking the recommended amount of vitamin C in daily supplements. Smokers require more.
qq#HThis are the effects caused due to deficiency of citrus fruits."
24,4,Citrus leaf minor,doc,"#Icitrusleafminor.jpegqq#HName : Phyllocnistis citrella (Stainton)qq#HFamily : Lepidoptera (Gracillariidae)qq#HDescriptionqq• During nursery stage, leaf miner is one of the limiting factors in producing healthy seedlings. It also continues to inflict serious damage even after transplanting.qq• It generally occurs during spring (March-April) and autumn (September- October).qq• The citrus leaf miner adult is a tiny silvery-white moth about 2 mm long with fringed wings.qq• Fore wings have brown stripes and a prominent black spot near the apical margin while hind wings are pure white with a wing spread of 4-5 mm.qq• Adults can be seen on young flush leaves when disturbed.qq• Eggs are laid singly usually on the underside of leaves near the midrib. The eggs look like tiny water droplets and hatch within 3-5 days.qq• The young pale yellow larvae immediately start feeding between epidermal layers of the leaf. They pupate, when full grown, near the margin of the mined leaf.qq• The total life cycle is about 2 - 3 weeks.qq#HDamage Symptomsqq• The characteristic symptom of leaf miner is presence of silvery serpentine mines usually on the under surface of the leaf.qq• Usually each leaf has only a single mine, but in case of heavy infestation there may be several mines per leaf.qq• This mining of the leaves causes them to curl up, distorted and thereby reducing the photosynthetic area of the young foliage.qq• In case of severe infestation mines can also be seen on the upper side of the leaves as well as on shoot portion of new twigs.qq• Damage by this pest predisposes the plant for development of canker disease."
25,4,Citrus psylla,doc,"#Icitruspsylla.jpegqq#HName : Diaphorina citri (Kuwayama)qq#HFamily : Hemiptera : Psylfidaeqq#HDescriptionqq• This pest is active on young flush during spring till autumn but the more serious damage is done during flowering and fruit set stage in March-April.qq• This tiny insect is 3-4 mm long, mottled brown in color, with transparent wings.qq• The eggs of psyllids are bright yellow and deposited on unopened leaf buds.qq• Early instar nymphs are green or dull orange and late instar nymphs are bright yellowish orange.qq#HDamage symptomsqq• The damage is caused by both nymphs and adults by sucking the cell sap from the leaves, tender shoots and flowers causing curling of leaves, defoliation and drying of twigs.qq• Nymphs secrete whitish crystalline honey dew which attracts the growth of fungus, adversely affecting the photosynthesis.qq• This insect also transmits the citrus greening disease.qq• In case of severe attack the leaf buds, flower buds and leaves may wilt and die."
26,4,Citrus whitefly,doc,"#Icitruswhitefly.jpegqq#HName : Dialoeurodes citri (Ashmead)
qq#HFamily : Hemiptera : Aleyrodidae
qq#HDescription
qq• Whiteflies are distributed in all citrus growing areas. The adult is 1.5 mm long with white or greyish wings, pale yellow body and red constricted eyes.
qq• The nymphs are oval in shape, scale like, blackish with marginal bristle like fringes and are stationary.
qq• Large number of yellowish eggs (150 - 200) are laid on the lower surface of leaves which hatches in about 10 days.qq#HDamage symptoms
qq• The crawlers settle on the under surface of the leaves and suck the sap. These nymphs and adults suck the plant sap and secrete honeydew due to which sooty mould develops on the leaves.
qq• Severe infestation results in black layer manifestation, covering entire plant parts including fruits due to which photosynthesis is effected."
27,4,Citrus Blackfly,doc,"#Icitrusblackfly.pngqq#HName : Aleuracanthus woglumi (Ashby)qq#HFamily : Hemiptera : Aleyrodidae
qq#HDescription
qq• The adults of backfly are ashy coloured with brick red abdomen, smoky wings.. The adult females are about 1.2 mm long and the males are 0.8 mm in length.
qq• The nymphs are scale like, shiny black and spiny with marginal fringes.
qq• The adults emerge in March-April and the females lay yellowish brown oval shaped eggs which are arranged in a spiral manner on broad leaves with 15-22 eggs in a cluster.
qq• The eggs hatch in 7-14 days and the nymphs on emergence start feeding on cell sap and settle on the lower side of the leaf. There are two distinct broods in a year.
qq• The first brood adults emerge in March-April and those of the second brood emerge in July-October.
qq#HDamage symptoms
qq• Both adults and nymphs suck plant sap and results in the curling of leaves and also the premature fall of flower buds and the developing fruits thereby resulting in reducing the vitality of the tree. Moreover, honey dew secretion favours rapid development of black sooty mould that covers entire plant surface.
qq• The process of photosynthesis is hampered greatly resulting in stunted growth of plants, low intensity of flowering and scarce fruiting."
28,4,Citrus Aphid,doc,"#Icitrusaphids.jpegqq#HName : Toxoptera aurantii, Myzus persicae Sulzer, Aphis gossypii( Glove)
qq#HFamily : Hemiptera : Aphididae
qq#HDescription
qq• Three species of aphids, Toxoptera aurantii (Boyer de Fonscolombe); Aphis gossypii Glover and Myzus persicae (Sulzer) in general are sporadic pests, but now these are becoming regular pests of citrus. T.aurantii and A. gossypii are reported as most efficient vectors of Citrus Tristeza Virus (CTV).
qq• Aphids are soft bodied, pear shaped, tiny sucking insects, measuring less than 2 mm in length and are pale yellowish green to black in colour.
qq• They have apair of cornicles arishing from Vth abdominal segment. Each aphid produces about 5 young nymphs/ day for a period of 1-3 weeks parthenogenetically Single live cycle normally takes 6 to 8 days.
qq#HDamage symptoms
qq• Nymphs and adults suck sap from tender leaves and shoots.
qq• Affected leaves turn yellow, ger curled, deformed and dry up. Growth of young shoots is adversely affected.
qq• Plant growth is stunted. Sooty mould is produced on honeydew excreted by aphids. Infestation of aphids at the time of flowering is associated with reduced fruit set.
qq• Aphids also act as the active vectors of Citrus Tristeza Virus."
29,4,Citrus fruit sucking moth,doc,"#Icitrusfruitsuckingmoth.jpegqq#HName : Eudocima fullonica (Linnaeus)
qq#HFamily : Lepidoptera Noctuidae
qq#HDescription
qq• The moths are distinguished by having particularly well developed proboscis with dentate tips with which they are able to pierce the ripening fruits.
qq• The adults of E.fallonica have pale orange brown body with forewings dark grayish and the hind wings orange red with two black curved patches.
qq• The female moth lays eggs on weeds like Tinospora cardifolia, T.semilacina, Cocculus hirsutus, Convolvulus arvensis etc. where the caterpillar develops after harching.
qq• Egg period is 8-10 days. The caterpillar is a semilooper, dark brown with yellow and red spots. Full grown caterpillars are 50-60 mm long, stout, velvety-blue with yellow patterns on dorsal and lateral sides.
qq• Pupation takes place in a transpatent pale whitish silken cover enclosed in leaf fold. Larval period is 28-35 days. Pupal period is 14-18 days.
qq#HDamage symptoms
qq• It is a pest of regular occurrence on maturing kinnow fruits during July-October in Hoshiarpur and Gurudaspur districts of Punjab in the recent past.
qq• These moths are active during night and suck the juice from the fruit with their long proboscis. The punctures produced during feeding by the adult moths leads to fruit rot due to invasion by secondary pathogens leading to pre-mature fruit drop.
qq• Only adult moths are destructive to citrus fruits."
30,4,Bark eating caterpiller,doc,"#Ibarkeatingcaterpiller.jpegqq#HName : Indarbela quadrinotata (Walker)
qq#HFamily : Lepidoptera: Metarbelidae
qq#HDescription
qq• The pest is noticed predominantly in old and neglected orchards. The hanging wooden frass and tunnel at the joint of two branches from October-April indicates the presence of the pest.
qq• Adult moths are active during May-June. They are 35-40 mm in size, pale brown or grey in colour.
qq• Female moths deposit eggs under loose bark and eggs hatch in 8-10 days.
qq• Caterpillars are 50-60 mm and have pale brown bodies with dark brown heads.

qq#HDamage symptoms
qq• Caterpillars eat the bark and bore inside the tree. Larva remains hidden inside the tunnel during day time and becomes active in the night.
qq• Several caterpillars may attack the same tree at different locations which can cause serious injury to the bark and the death of small branches.
qq• The holes left on the trunk may lead to infestation by other insects or plant pathogens. Affected branches break at the points of attack.
qq• A severe infestation may arrest the growth of the tree and the fruiting capacity"
31,4,Citrus mite,doc,"#Icitrusmite.jpegqq#HName : Eutetranychus orientalis (Klein)
qq#HFamily :(Acarina)
qq#HDescription
qq• The adult is small, pulump and orange with thick deep brown patches on the dorsal side of its body and measures 0.33 mm in length.
qq• Its body is covered with prominent bristles, each  borne on a whitish tubercle. The mites are most active during May-June when they lay about 50  eggs are minute, round and orange and are embedded in the leaf tissues, They hatch in about week.
qq• The newly hatched larva is light yellowish brown and has only three pairs of legs and after feeding on  call sap for three or four days, it moults into protonymph which has four pairs of legs.
qq• It is full-fed in 4-5 days and after moulting, transforms into an adult mite. The female mites live for about ten or more days. The life - cycle in summer is completed in 17-20 days and the pest passes through several overlapping generations in a year.

qq#HDamage symptoms
qq• The mite assumes serious proportions during dry spells particularly May-June in citrus orchards.
qq• In Punjab, it is found infesting kinnow, sweet-orange, lemon, grapefruit and sour-lime. Nymphs and adults cause damage by lacerating the leaves, resulting in speckled appearance of the leaves.
qq• Heavy infestation may result in complete defoliation, especially of the young nursery plants. The affected fruits become yellow and remain undersized."
32,5,Gummosis of citrus,doc,"#Igummosisofcitrus.jpegqq#HCausal organism : Phytophthora nicotianae

qq• The disease is identified by profuse gumming on the surface of the bark on tree trunk from which gummy substance oozes out.qq• The affected bark turns dark brown and develops longitudinal cracks. The wood tissues are also affected.qq• In severe cases, bark rots and the trees dry because of girdling effect.
qq#HTransmission
qq• The disease is favoured by rains, heavy to ill drained soils, excessive and flood method of irrigation leading to prolonged contact of trunk and crown with water or moist soil, high water-table, deep planting, low budding and injuries to roots or base of the stem.qq• The primary means by which Phytophthora spp. are spread through citrus orchards is by use of infested nursery stock.qq• The pathogen may be present in soil or infected roots even though disease symptoms are not readily apparent. The fungus like organism is also carried in soil on equipment when vehicles move from infested to non-infested groves or nurseries.qq• Flooding method for irrigation water may also move the pathogen from area to area. Within groves, dispersal by irrigation water occurs especially where furrow or flood irrigation is used. Surface water following heavy rains may carry the pathogen as it drains from the grove.
qq#HManagement of Citrus Phytophthora
qq• Trunk Paint: Scrap the affected bark portions of the tree trunk, branches and limbs along with some healthy green bark with the help of sharp Knife or Khurpa. Properly collect and destroy the diseased bark by burning and do not allow it to fall on the ground. Apply the fungicidal paint of Ridomil
qq• Gold (2 gm in 100 ml Linseed oil) or Trichoderma harzianum @ 100 g/l and paint Linseed oil after five days with the help of painting brush twice in a year during February-March and July-August.
qq• Soil Drench: Drenching the root zone area of the infected tree with Ridomil Gold (25 g / tree in 10 litres of water) twice in February-March and July-August. Trunk paint can be combined with soil drench for effective disease control.
qq• Foliar Sprays: Spray application of Aliette 80 WP (2.5 gm/ litre) can be made during April and September for the effective disease control. The spray application will check the lesions on the tree parts as well as regeneration of feeder roots. Aliette spray can be combined with drenching of root zone area with Ridomil Gold.
qq• Prefer basin method of irrigation or double ring or drip irrigation over flooding method of irrigation"
33,5,Citrus canker,doc,"#Icitruscanker.jpegqq#HCausal organism : Xanthomonas citri  subsp. citri

qq• This disease is endemic to India and occurs in all the citrus growing areas. It is a bacterial disease and is spread with the help of citrus leaf miner.
qq• Canker lesions start as pinpoint spots and attain a diameter of 2 - 10 mm. Their eventual size depends mainly on the cultivar and the age of the host tissue at infection.
qq• The lesions are initially circular but later may develop irregularly often aggregated at the leaf margin or the leaf tips or in a restricted area of the leaf.
qq• Lesion become visible on the underside of leaves about 7 days after infection and on the upper surface soon after. The characteristic symptom of the disease on leaves is the yellow halo that surrounds lesion.
qq• Young lessons are raised or pustular, particularly on the lower leaf surface. The pustules later became corky and crateriform, with a raised margin and a sunken centre. Lesions on fruit and stems extend 1-3 mm in depth and are superficially similar to those on leaves."
